key,count,coverage
_id,20149,1.0
extras,20149,1.0
identity,20149,1.0
link,20149,1.0
raw,20149,1.0
reference,20149,1.0
title,20149,1.0
bibliography,20127,0.9989081343987295
curriculum,19614,0.9734478137872847
origin,11193,0.555511439773686
ecclesiasticalCareer,10924,0.5421609012854236
professionalCareer,6740,0.3345079160256092
relationalInsertion,6257,0.31053650305226066
textualProduction,1562,0.07752245769020795
assets,1361,0.06754677651496352
politicalCareer,1108,0.05499032210035237
travels,720,0.035733783314308404
commissions,223,0.011067546776514963
distinctiveSign,98,0.004863764951114199
otherActivities,61,0.003027445530795573
orality,51,0.0025311429847635117
